QSPY 6.9.2 Copyright (c) 2005-2020 Quantum Leaps
Documentation: https://www.state-machine.com/qtools/qspy.html
3421712993 =>Intern Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3421713012 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3421713088 AO-Get   Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5>
3421713190 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3421713209 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3421713227 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3421713250 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3421713269 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3421713283 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3421713298 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3421713312 AO-Get   Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>,Que<Free=5>
3421713331 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3421713360 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3421713380 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3421713399 MP-Put   Obj=EvtPool1,Free=9
3421713418 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3421713428 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3421713452 TE0-Arm  Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0],Tim=122,Int=0
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::eating
3421713470 ===>Tran Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3421713489 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3421713503 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
3424343231 TE0-Post Obj=Philo::inst[1].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[1]
3424343268 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3424343931 AO-GetL  Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3424343958 Disp===> Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::thinking
3424343993 TE0-DisA Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
===RTC===> St-Exit  Obj=Philo::inst[1],State=Philo::thinking
3424344021 MP-Get   Obj=EvtPool1,Free=9,Min=7
3424344035 QF-New   Sig=HUNGRY_SIG,Size=6
3424344060 AO-Post  Sdr=Philo::inst[1],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::hungry
3424344074 ===>Tran Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3424344098 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3424344118 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3424344442 PHILO_STAT 1 hungry  
3424344466 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3424344480 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3424344490 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
3426870201 TE0-Post Obj=Philo::inst[4].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[4]
3426870238 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3426870568 AO-GetL  Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3426870605 Disp===> Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::thinking
3426870633 TE0-DisA Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
===RTC===> St-Exit  Obj=Philo::inst[4],State=Philo::thinking
3426870662 MP-Get   Obj=EvtPool1,Free=9,Min=7
3426870680 QF-New   Sig=HUNGRY_SIG,Size=6
3426870705 AO-Post  Sdr=Philo::inst[4],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::hungry
3426870729 ===>Tran Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3426870747 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3426870767 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3426871118 PHILO_STAT 4 hungry  
3426871142 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3426871167 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3426871185 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
3429100970 TE0-Post Obj=Philo::inst[2].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[2]
3429100999 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3429101600 AO-GetL  Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3429101629 Disp===> Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::thinking
3429101657 TE0-DisA Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
===RTC===> St-Exit  Obj=Philo::inst[2],State=Philo::thinking
3429101680 MP-Get   Obj=EvtPool1,Free=9,Min=7
3429101699 QF-New   Sig=HUNGRY_SIG,Size=6
3429101717 AO-Post  Sdr=Philo::inst[2],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::hungry
3429101741 ===>Tran Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3429101761 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3429101775 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3429102093 PHILO_STAT 2 hungry  
3429102108 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3429102131 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3429102146 MP-Put   Obj=EvtPool1,Free=10
   <QSPY-> Sequence list NOT provided (no -g option)
           TE0-ADis Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
3434054430 TE0-Post Obj=Philo::inst[0].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[0]
3434054464 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3434054849 AO-GetL  Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3434054882 Disp===> Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::eating
3434054921 MP-Get   Obj=EvtPool1,Free=9,Min=7
3434054940 QF-New   Sig=DONE_SIG,Size=6
3434054955 QF-Pub   Sdr=Philo::inst[0],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3434054978 AO-Post  Sdr=Philo::inst[0],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3434054996 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3434055015 TE0-DisA Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
===RTC===> St-Exit  Obj=Philo::inst[0],State=Philo::eating
3434055035 TE0-Arm  Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0],Tim=105,Int=0
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::thinking
3434055058 ===>Tran Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3434055077 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3434055091 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3434055392 PHILO_STAT 0 thinking
3434055402 MP-Get   Obj=EvtPool1,Free=8,Min=7
3434055425 QF-New   Sig=EAT_SIG,Size=6
3434055445 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3434055455 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3434055478 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3434055498 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3434055513 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3434055531 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3434055545 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3434055635 PHILO_STAT 1 eating  
3434055654 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3434055678 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3434055697 MP-Put   Obj=EvtPool1,Free=9
3434055716 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3434055730 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3434055754 =>Ignore Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3434055769 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3434055784 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3434055798 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3434055832 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3434055851 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3434055865 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3434055883 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3434055898 =>Ignore Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3434055912 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3434055932 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3434055946 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry
3434055964 TE0-Arm  Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1],Tim=169,Int=0
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::eating
3434055983 ===>Tran Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3434056002 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3434056017 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3434056036 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3434056050 =>Intern Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3434056069 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3434056084 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3437186276 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3437186300 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3437187612 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3437187651 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating
3437187694 MP-Get   Obj=EvtPool1,Free=9,Min=7
3437187712 QF-New   Sig=DONE_SIG,Size=6
3437187731 QF-Pub   Sdr=Philo::inst[3],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3437187754 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3437187778 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3437187797 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::eating
3437187821 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=87,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::thinking
3437187845 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3437187865 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3437187879 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3437188187 PHILO_STAT 3 thinking
3437188211 MP-Get   Obj=EvtPool1,Free=8,Min=7
3437188225 QF-New   Sig=EAT_SIG,Size=6
3437188240 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3437188259 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3437188278 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3437188298 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3437188312 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3437188330 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3437188349 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3437188448 PHILO_STAT 4 eating  
3437188462 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3437188481 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3437188499 MP-Put   Obj=EvtPool1,Free=9
3437188518 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3437188533 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3437188552 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=119,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::eating
3437188576 ===>Tran Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3437188595 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3437188615 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3437188634 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3437188652 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3437188667 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3437188687 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3437188701 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3437188729 =>Ignore Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3437188743 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3437188762 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3437188777 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3437188796 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3437188810 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3437188828 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3437188852 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3437188867 =>Intern Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3437188886 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3437188900 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
3444662710 TE0-Post Obj=Philo::inst[0].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[0]
3444662738 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3444663353 AO-GetL  Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3444663382 Disp===> Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::thinking
3444663410 TE0-DisA Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
===RTC===> St-Exit  Obj=Philo::inst[0],State=Philo::thinking
3444663434 MP-Get   Obj=EvtPool1,Free=9,Min=7
3444663454 QF-New   Sig=HUNGRY_SIG,Size=6
3444663473 AO-Post  Sdr=Philo::inst[0],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::hungry
3444663498 ===>Tran Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3444663517 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3444663535 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3444663855 PHILO_STAT 0 hungry  
3444663883 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3444663902 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3444663921 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3445978496 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3445978521 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3445978955 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3445978984 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking
3445979018 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::thinking
3445979042 MP-Get   Obj=EvtPool1,Free=9,Min=7
3445979061 QF-New   Sig=HUNGRY_SIG,Size=6
3445979080 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::hungry
3445979103 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3445979122 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3445979131 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3445979478 PHILO_STAT 3 hungry  
3445979502 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3445979526 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3445979545 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
3449211275 TE0-Post Obj=Philo::inst[4].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[4]
3449211298 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3449211499 AO-GetL  Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3449211527 Disp===> Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating
3449211551 MP-Get   Obj=EvtPool1,Free=9,Min=7
3449211565 QF-New   Sig=DONE_SIG,Size=6
3449211579 QF-Pub   Sdr=Philo::inst[4],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3449211599 AO-Post  Sdr=Philo::inst[4],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3449211613 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3449211633 TE0-DisA Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
===RTC===> St-Exit  Obj=Philo::inst[4],State=Philo::eating
3449211652 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=122,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::thinking
3449211671 ===>Tran Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3449211685 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3449211700 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3449211972 PHILO_STAT 4 thinking
3449211995 MP-Get   Obj=EvtPool1,Free=8,Min=7
3449212010 QF-New   Sig=EAT_SIG,Size=6
3449212024 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3449212052 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3449212072 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3449212086 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3449212100 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3449212115 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3449212133 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3449212190 PHILO_STAT 3 eating  
3449212209 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3449212224 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3449212243 MP-Put   Obj=EvtPool1,Free=9
3449212257 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3449212272 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3449212282 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3449212301 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3449212315 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3449212329 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
3449212348 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=128,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::eating
3449212367 ===>Tran Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3449212377 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3449212395 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3449212405 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3449212428 =>Ignore Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3449212443 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3449212458 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3449213629 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3449213648 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3449213667 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3449213681 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3449213695 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3449213713 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3449213727 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3449213741 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
3451139182 TE0-Post Obj=Philo::inst[1].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[1]
3451139205 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3451139868 AO-GetL  Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3451139912 Disp===> Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::eating
3451139946 MP-Get   Obj=EvtPool1,Free=9,Min=7
3451139965 QF-New   Sig=DONE_SIG,Size=6
3451139984 QF-Pub   Sdr=Philo::inst[1],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3451140013 AO-Post  Sdr=Philo::inst[1],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3451140032 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3451140051 TE0-DisA Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
===RTC===> St-Exit  Obj=Philo::inst[1],State=Philo::eating
3451140078 TE0-Arm  Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1],Tim=125,Int=0
